tab_name,manager,time_range,review_type,display_name,capture_folder_url,folder_url,is_closed
12/8(종합)노티드_케이크 쿠팡/네이버 (25년),,,,,,https://drive.google.com/drive/folders/1GsUB7YXrY13-lHhcD78icjabOi5LoPKX,TRUE
9/17(쿠팡)노티드_선물세트 블로그,,,,,,https://drive.google.com/drive/folders/1GsUB7YXrY13-lHhcD78icjabOi5LoPKX,TRUE
0916노티드_오란다과자(쿠)100건,,,,,,https://drive.google.com/drive/folders/1GsUB7YXrY13-lHhcD78icjabOi5LoPKX,TRUE
9/3노티드_샌드위치100건,,,,,,https://drive.google.com/drive/folders/1GsUB7YXrY13-lHhcD78icjabOi5LoPKX,TRUE
2/25_더프리젠_네이버_호두정과답례품_20건,,,,,,,TRUE
2/20_플래너리랩_쿠팡_멜라토닌_130건,,,,,,,TRUE
2/4_유한건강생활_유산균3종_43건,,,,,,,TRUE
2/3_디스이즈_온열패치_400건,,,,,,,TRUE
12/22_세한무역_고무장갑_20건,,,,,,,TRUE
(완)12/22_웰빙휴 글로벌_고무장갑_20건,,,,,,,TRUE
(완)11/25_(쿠팡)희망케어_여성셔츠_30건(실배송),,,,,,,TRUE
11/11_아인스미디어_단백질쉐이크_100건,,,,,,,TRUE
10/28_더프리젠_핸드워시(빈박스)_30건,,,,,,,TRUE
(완)10/20_온다잠_탄소매트(빈박스)_50건,,,,,,,TRUE
(완)10/16_GGRN_양말(실배송)_30건,,,,,,,TRUE
10/16_케이엠씨컨설팅_테이핑패치(실배송)_50건,,,,,,,TRUE
(완)10/15_(쿠팡)키토라이프_눈애존_100건,,,,,,,TRUE
(완)9/29_(쿠팡)희망케어_여성셔츠_30건(실배송),,,,,,,TRUE
(완)9/9_케이엠씨컨설팅_근육패치_200건(실배송)_6차,,,,,,,TRUE
(진행중)1/2_라라한옥풀빌라_예약자리뷰_30건,,,,,,,TRUE
루나리언스,,,,,,,TRUE
2/3 (쿠팡)굿데이허니_프로폴리스 스프레이 99건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
2/2 (네이버)굿데이허니_프로폴리스 스프레이 99건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/26메이커스_새치틴트200건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/31밥스누_약콩콩물 카페/블로그 바이럴,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
2/3(쿠팡)엘라비에_선세럼 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/22(네이버)엘라비에_기미쿠션 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/22(네이버)엘라비에_선세럼 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/20(쿠팡)비오진_알부민크림 50건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/19(네이버)우레온_바디워시 210건 (+2차 300건 추가),,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/16좋은상황_상황버섯진액 카페/블로그 바이럴,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/14좋은상황_상황버섯진액 카페/블로그 바이럴,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
0113좋은상황_버섯진액300건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
리뷰폼:0113좋은상황,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1.11쿠팡_약콩콩물_골드박스,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1.9메이커스_수세미,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/8(쿠팡)밤보늬_모공브러쉬 50건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/5메디슨벨_마시는샐러드 카페/블로그 바이럴,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
12.24메이커스_오클리앙세럼,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
12/9(쿠팡)메디슨벨_리뉴패치 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
12/4(메이커스)디아쉬끄_새치틴트 50건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
12/3(네이버)우레온_바디로션 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
12/2(쿠팡)말따_부스터샷 300건폼,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/28(쿠팡)넛세린_바디로션 300건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/24(메이커스)디아쉬끄_새치틴트 50건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11.21엘라비에_디펜스크림100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/21(쿠팡)솔라르프리_다용도수세미 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/21(쿠팡)솔라르프리_다용도수세미 100건폼,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/18(쿠팡)디아쉬끄_새치틴트 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/18(메이커스)디아쉬끄_새치틴트 50건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/12(쿠팡)노티드_오란다 과자세트 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/11(쿠팡)메디슨벨_샐러드워터 300건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/10(쿠팡)디아쉬끄_헤어볼륨시트 5건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/7밤보늬앰플_100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/5(쿠팡)밤보늬_모공토너 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11/3(쿠팡)디아쉬끄_새치틴트 10건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/31(쿠팡)우레온_바디로션 500건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/30(쿠팡)블랑루스_바디미스트 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/30(쿠팡)노티드_모기기피제 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/28(쿠팡)블랑루스_젤리미스트 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1028약콩콩물99건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/24(쿠팡)시크릿에이지_아이크림 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/24(쿠팡)시크릿에이지_클라우드앰플 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
